date,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
01-01-2026,Central Delhi,110002,10,8,0,2,60,118,206
01-01-2026,Central Delhi,110003,7,0,0,0,26,68,36
01-01-2026,Central Delhi,110005,8,1,0,0,74,58,74
01-01-2026,Central Delhi,110008,9,2,0,4,94,78,94
01-01-2026,Central Delhi,110012,5,0,0,0,0,0,0
01-01-2026,Central Delhi,110055,9,3,1,0,44,74,72
01-01-2026,Central Delhi,110060,2,0,0,0,6,5,3
01-01-2026,East Delhi,110031,22,5,0,1,48,0,0
01-01-2026,East Delhi,110032,2,3,0,0,18,2,44
01-01-2026,East Delhi,110051,12,10,0,3,55,68,112
01-01-2026,East Delhi,110091,24,8,0,5,82,67,86
01-01-2026,East Delhi,110092,52,15,1,16,238,210,224
01-01-2026,East Delhi,110095,25,7,0,2,33,189,155
01-01-2026,East Delhi,110096,16,9,1,12,146,178,118
01-01-2026,Najafgarh,110043,0,3,0,0,6,0,10
01-01-2026,New Delhi,110001,2,1,0,0,0,0,0
01-01-2026,North Delhi,110006,28,9,0,0,0,0,0
01-01-2026,North Delhi,110007,8,4,0,0,0,0,0
01-01-2026,North Delhi,110054,3,0,0,0,0,0,0
01-01-2026,North Delhi,110084,43,9,0,0,0,0,0
01-01-2026,North East,110053,18,10,0,1,43,0,0
01-01-2026,North East,110093,18,0,0,0,19,11,85
01-01-2026,North East,110094,22,10,0,0,116,14,238
01-01-2026,North East Delhi,110032,6,5,0,0,0,0,0
01-01-2026,North East Delhi,110053,44,12,1,11,99,0,0
01-01-2026,North East Delhi,110093,29,6,1,0,0,0,0
01-01-2026,North East Delhi,110094,81,35,0,0,0,0,0
01-01-2026,North West Delhi,110009,5,2,1,0,28,23,32
01-01-2026,North West Delhi,110033,32,9,0,0,0,0,0
01-01-2026,North West Delhi,110034,16,4,1,0,0,0,0
01-01-2026,North West Delhi,110035,11,3,0,0,0,0,0
01-01-2026,North West Delhi,110036,9,6,0,1,21,74,132
01-01-2026,North West Delhi,110039,16,4,0,6,22,0,0
01-01-2026,North West Delhi,110040,13,5,1,4,42,102,114
01-01-2026,North West Delhi,110042,32,25,0,0,0,0,0
01-01-2026,North West Delhi,110052,13,2,0,0,37,0,0
01-01-2026,North West Delhi,110081,6,2,0,2,31,104,132
01-01-2026,North West Delhi,110082,7,1,0,0,0,0,0
01-01-2026,North West Delhi,110083,15,2,0,0,27,0,0
01-01-2026,North West Delhi,110085,35,3,0,8,100,174,196
01-01-2026,North West Delhi,110086,92,22,0,14,143,0,0
01-01-2026,North West Delhi,110088,13,3,0,0,0,0,0
01-01-2026,North West Delhi,110089,6,1,0,2,16,0,0
01-01-2026,North West Delhi,110094,2,0,0,0,4,0,6
01-01-2026,Shahdara,110032,1,0,0,1,28,16,16
01-01-2026,Shahdara,110053,3,1,0,1,2,0,2
01-01-2026,Shahdara,110093,1,1,1,2,16,4,12
01-01-2026,Shahdara,110095,8,3,0,1,10,0,0
01-01-2026,South Delhi,110003,2,0,0,0,6,2,16
01-01-2026,South Delhi,110013,2,2,0,0,0,0,0
01-01-2026,South Delhi,110014,2,1,1,1,20,0,0
01-01-2026,South Delhi,110016,5,0,1,2,10,46,14
01-01-2026,South Delhi,110017,12,8,1,0,0,0,0
01-01-2026,South Delhi,110019,22,6,0,4,49,140,94
01-01-2026,South Delhi,110020,9,3,0,0,42,40,42
01-01-2026,South Delhi,110024,1,1,1,0,7,22,14
01-01-2026,South Delhi,110025,16,9,0,10,174,66,144
01-01-2026,South Delhi,110030,15,1,0,1,26,44,53
01-01-2026,South Delhi,110044,28,13,0,14,184,206,172
01-01-2026,South Delhi,110047,10,1,0,1,11,0,0
01-01-2026,South Delhi,110048,1,0,1,0,11,26,44
01-01-2026,South Delhi,110049,3,0,1,1,18,25,8
01-01-2026,South Delhi,110062,52,9,0,11,128,0,0
01-01-2026,South Delhi,110065,9,5,1,1,20,72,46
01-01-2026,South Delhi,110068,2,0,0,1,15,0,0
01-01-2026,South Delhi,110074,13,6,0,0,0,0,0
01-01-2026,South Delhi,110076,16,2,0,1,33,22,24
01-01-2026,South Delhi,110080,6,1,0,0,17,0,0
01-01-2026,South East Delhi,110025,1,1,0,1,5,0,1
01-01-2026,South West Delhi,110010,3,2,0,0,24,34,24
01-01-2026,South West Delhi,110021,2,0,0,0,3,0,0
